"ID","Major_Studied","Age","Sex","MPPUS__Total","GPA","Extraversion","Neurotocism"
1.0,3,21.149897330595483,2,128.0,2.93,17.0,11.0
2.0,3,20.993839835728952,2,183.0,2.98,15.0,21.0
3.0,3,22.976043805612594,2,129.0,3.57,19.0,5.0
4.0,3,22.795345653661876,2,116.0,3.98,17.0,15.0
5.0,3,20.008213552361397,2,67.0,3.54,20.0,10.0
6.0,3,20.98836413415469,2,143.0,3.22,14.0,16.0
7.0,14,25.812457221081452,1,38.0,4.0,14.0,21.0
8.0,3,27.186858316221766,1,88.0,2.9,18.0,7.0
9.0,12,18.718685831622178,2,35.0,3.81,20.0,13.0
10.0,8,19.980835044490075,2,95.0,3.33,17.0,14.0
11.0,4,22.297056810403834,1,114.0,3.33,13.0,9.0
12.0,4,21.842573579739906,1,117.0,3.02,18.0,13.0
13.0,12,20.566735112936346,1,122.0,999.0,22.0,10.0
14.0,4,23.301848049281315,1,82.0,2.76,17.0,8.0
15.0,4,22.04517453798768,1,132.0,2.9,17.0,9.0
16.0,4,21.659137577002053,2,74.0,3.14,19.0,9.0
17.0,4,23.15400410677618,1,148.0,2.73,20.0,11.0
18.0,4,19.915126625598905,2,45.0,3.53,17.0,2.0
19.0,8,19.62217659137577,1,169.0,3.15,21.0,10.0
20.0,4,23.175906913073238,1,71.0,3.24,18.0,12.0
21.0,4,,1,101.0,2.37,20.0,18.0
22.0,4,25.374401095140314,1,106.0,2.12,21.0,8.0
23.0,4,23.655030800821354,1,65.0,3.87,12.0,20.0
24.0,6,22.247775496235455,1,100.0,3.09,19.0,6.0
25.0,17,23.175906913073238,1,40.0,2.97,19.0,6.0
26.0,3,20.49555099247091,2,61.0,3.85,19.0,11.0
27.0,4,22.255989048596852,2,94.0,3.53,17.0,6.0
28.0,3,19.00889801505818,2,83.0,3.77,14.0,9.0
29.0,8,21.897330595482547,2,150.0,3.48,22.0,17.0
30.0,8,20.251882272416154,2,112.0,3.81,12.0,8.0
31.0,8,22.622861054072555,2,65.0,3.64,20.0,6.0
32.0,11,22.937713894592743,1,85.0,3.67,16.0,12.0
33.0,2,19.066392881587955,2,98.0,3.85,20.0,16.0
34.0,4,21.010266940451746,2,175.0,3.18,19.0,17.0
35.0,3,23.4031485284052,2,81.0,3.88,11.0,6.0
36.0,2,19.589322381930184,1,80.0,4.0,12.0,9.0
37.0,8,20.944558521560573,2,135.0,3.98,13.0,21.0
38.0,3,21.22108145106092,2,82.0,3.71,15.0,10.0
39.0,3,18.067077344284737,1,141.0,2.88,18.0,8.0
40.0,4,24.476386036960985,1,153.0,999.0,19.0,17.0
41.0,1,20.49555099247091,2,101.0,2.07,17.0,8.0
42.0,6,23.701574264202602,1,160.0,2.6,21.0,7.0
43.0,12,23.630390143737166,1,42.0,3.18,17.0,11.0
44.0,3,23.32101300479124,1,112.0,2.84,21.0,5.0
45.0,6,22.16290212183436,1,170.0,3.48,15.0,12.0
46.0,8,21.67008898015058,1,104.0,3.91,8.0,6.0
47.0,8,20.490075290896645,2,110.0,3.39,9.0,23.0
48.0,6,20.76659822039699,1,73.0,2.15,18.0,11.0
49.0,8,24.06570841889117,1,88.0,3.51,19.0,10.0
50.0,6,23.26899383983573,1,82.0,2.74,16.0,15.0
51.0,8,21.905544147843944,2,62.0,3.58,17.0,14.0
52.0,3,18.97056810403833,2,158.0,4.0,8.0,18.0
53.0,3,18.97056810403833,2,133.0,3.9,13.0,6.0
54.0,1,21.19917864476386,2,80.0,4.0,16.0,7.0
55.0,3,24.087611225188226,1,93.0,3.03,15.0,9.0
56.0,6,23.186858316221766,1,62.0,2.46,16.0,10.0
57.0,8,20.292950034223136,2,160.0,3.38,15.0,21.0
58.0,16,19.540041067761805,1,92.0,2.99,18.0,9.0
59.0,8,20.6652977412731,2,161.0,2.97,23.0,19.0
60.0,1,20.906228610540726,2,59.0,4.0,15.0,11.0
61.0,3,20.772073921971252,2,121.0,3.06,11.0,24.0
62.0,8,20.695414099931554,2,156.0,2.79,20.0,16.0
63.0,12,19.477070499657767,1,140.0,2.76,19.0,3.0
64.0,12,19.069130732375086,1,144.0,3.0,19.0,4.0
65.0,11,22.858316221765914,2,83.0,3.26,21.0,6.0
66.0,11,20.465434633812457,2,95.0,3.16,22.0,5.0
67.0,11,21.93839835728953,2,178.0,3.19,19.0,18.0
68.0,8,20.112251882272417,2,134.0,3.77,19.0,10.0
69.0,11,22.45037645448323,2,150.0,3.54,15.0,16.0
70.0,3,18.132785763175907,2,190.0,999.0,9.0,17.0
71.0,4,24.424366872005475,1,80.0,3.29,12.0,18.0
72.0,3,22.23134839151266,2,13.0,3.89,11.0,3.0
73.0,3,22.1492128678987,2,71.0,3.97,18.0,12.0
74.0,13,22.157426420260094,2,71.0,3.16,21.0,9.0
75.0,8,23.416837782340863,2,137.0,3.3,16.0,5.0
76.0,13,20.867898699520875,1,63.0,3.25,10.0,15.0
77.0,13,21.144421629021217,2,181.0,3.43,11.0,18.0
78.0,13,25.568788501026695,2,82.0,3.35,20.0,4.0
79.0,15,23.225188227241617,2,82.0,3.0,17.0,7.0
80.0,13,21.71663244353183,1,94.0,3.23,19.0,7.0
81.0,8,21.53867214236824,2,173.0,3.78,16.0,24.0
82.0,14,21.963039014373717,1,53.0,3.0,15.0,11.0
83.0,14,21.032169746748803,2,68.0,3.65,13.0,13.0
84.0,13,21.694729637234772,2,67.0,3.19,17.0,2.0
85.0,3,24.65160848733744,1,63.0,3.35,13.0,11.0
86.0,12,23.189596167008897,1,68.0,3.37,22.0,8.0
87.0,3,23.969883641341546,2,94.0,3.32,18.0,10.0
88.0,4,19.307323750855577,1,63.0,3.34,21.0,4.0
89.0,8,19.485284052019164,1,69.0,3.42,16.0,7.0
90.0,15,18.847364818617386,2,124.0,3.4,14.0,12.0
91.0,3,21.924709103353866,1,64.0,3.16,19.0,10.0
92.0,3,21.971252566735114,1,121.0,3.55,14.0,17.0
93.0,8,20.89801505817933,2,51.0,2.8,20.0,8.0
94.0,3,20.555783709787818,2,116.0,3.3,14.0,7.0
95.0,3,20.870636550308006,2,72.0,2.88,12.0,11.0
96.0,3,21.322381930184804,2,95.0,3.59,19.0,8.0
97.0,4,23.652292950034223,1,111.0,3.63,17.0,4.0
98.0,3,23.67419575633128,2,139.0,3.93,21.0,11.0
99.0,3,25.23750855578371,2,158.0,3.24,15.0,8.0
100.0,3,21.478439425051334,2,85.0,3.7,17.0,11.0
101.0,3,23.137577002053387,2,129.0,3.67,11.0,17.0
102.0,,,,,,,
103.0,1,19.84394250513347,1,189.0,2.03,20.0,20.0
104.0,3,22.535249828884325,2,88.0,3.77,15.0,5.0
105.0,1,22.302532511978097,1,55.0,3.35,19.0,7.0
106.0,3,22.146475017111566,2,71.0,3.92,19.0,3.0
107.0,2,20.722792607802873,2,110.0,3.86,13.0,12.0
108.0,8,19.46611909650924,1,113.0,2.38,13.0,9.0
109.0,3,23.208761122518823,2,164.0,3.47,16.0,14.0
110.0,3,24.306639288158795,2,147.0,2.93,15.0,7.0
111.0,3,23.477070499657767,1,58.0,3.0,14.0,5.0
112.0,3,25.54962354551677,2,62.0,3.92,11.0,2.0
113.0,3,24.199863107460644,1,95.0,3.11,14.0,5.0
114.0,3,24.45448323066393,2,21.0,3.75,18.0,3.0
115.0,3,21.70841889117043,2,117.0,3.87,15.0,12.0
116.0,1,22.217659137577,2,126.0,3.19,12.0,18.0
117.0,3,23.72621492128679,2,162.0,2.9,19.0,14.0
118.0,3,24.71731690622861,1,46.0,3.15,7.0,11.0
119.0,3,23.87953456536619,2,153.0,3.08,16.0,15.0
120.0,3,,2,55.0,3.54,8.0,11.0
121.0,3,21.7056810403833,1,47.0,3.68,18.0,1.0
122.0,3,24.470910335386723,1,127.0,3.98,15.0,14.0
