district_number,district_name,num_schools,district_size
10,Anderson County Schools,16,Medium (10-19 schools)
11,Clinton City School District,3,Small (1-9 schools)
12,Oak Ridge City Schools,7,Small (1-9 schools)
20,Bedford County Schools,14,Medium (10-19 schools)
30,Benton School System,6,Small (1-9 schools)
40,Bledsoe County Schools,5,Small (1-9 schools)
50,Blount County Schools,20,Large (20+ schools)
51,Alcoa City Schools,4,Small (1-9 schools)
52,Maryville City Schools,7,Small (1-9 schools)
60,Bradley County Schools,17,Medium (10-19 schools)
61,Cleveland City Schools,9,Small (1-9 schools)
70,Campbell County Schools,12,Medium (10-19 schools)
80,Cannon County School District,7,Small (1-9 schools)
92,Hollow Rock-Bruceton Special School District,2,Small (1-9 schools)
93,Huntingdon Special School District,3,Small (1-9 schools)
94,McKenzie Special School District,3,Small (1-9 schools)
95,South Carroll County Special School District,1,Small (1-9 schools)
97,West Carroll Special School District,3,Small (1-9 schools)
100,Carter County Schools,14,Medium (10-19 schools)
101,Elizabethton City Schools,5,Small (1-9 schools)
110,Cheatham County School District,13,Medium (10-19 schools)
120,Chester County School System,6,Small (1-9 schools)
130,Claiborne County Schools,11,Medium (10-19 schools)
140,Clay County Schools,3,Small (1-9 schools)
150,Cocke County School System,11,Medium (10-19 schools)
151,Newport City School,1,Small (1-9 schools)
160,Coffee County Schools,9,Small (1-9 schools)
161,Manchester City Schools,3,Small (1-9 schools)
162,Tullahoma City Schools,7,Small (1-9 schools)
170,Crockett County Schools,5,Small (1-9 schools)
171,Alamo City School District,1,Small (1-9 schools)
172,Bells City School District,1,Small (1-9 schools)
180,Cumberland County Schools,12,Medium (10-19 schools)
190,Metro Nashville Public Schools,159,Large (20+ schools)
200,Decatur County Schools,4,Small (1-9 schools)
210,DeKalb County School District,5,Small (1-9 schools)
220,Dickson County School District,15,Medium (10-19 schools)
230,Dyer County Schools,8,Small (1-9 schools)
231,Dyersburg City Schools,4,Small (1-9 schools)
240,Fayette County Schools,7,Small (1-9 schools)
250,Fentress County Schools,5,Small (1-9 schools)
260,Franklin County Schools,11,Medium (10-19 schools)
271,Humboldt City Schools,3,Small (1-9 schools)
272,Milan Special School District,3,Small (1-9 schools)
273,Trenton Special School District,3,Small (1-9 schools)
274,Bradford Special School District,2,Small (1-9 schools)
275,Gibson County Special School District,9,Small (1-9 schools)
280,Giles County Schools,8,Small (1-9 schools)
290,Grainger County Schools,8,Small (1-9 schools)
300,Greene County Schools,16,Medium (10-19 schools)
301,Greeneville City Schools,6,Small (1-9 schools)
310,Grundy County Schools,7,Small (1-9 schools)
320,Hamblen County Schools,17,Medium (10-19 schools)
330,Hamilton County Schools,78,Large (20+ schools)
340,Hancock County Schools,2,Small (1-9 schools)
350,Hardeman County Schools,9,Small (1-9 schools)
360,Hardin County Schools,7,Small (1-9 schools)
370,Hawkins County Schools,18,Medium (10-19 schools)
371,Rogersville City School,1,Small (1-9 schools)
380,Haywood County Schools,4,Small (1-9 schools)
390,Henderson County Schools,9,Small (1-9 schools)
391,Lexington City Schools,2,Small (1-9 schools)
400,Henry County School System,6,Small (1-9 schools)
401,Paris Special School District,3,Small (1-9 schools)
410,Hickman County Schools,8,Small (1-9 schools)
420,Houston County Schools,4,Small (1-9 schools)
430,Humphreys County School System,7,Small (1-9 schools)
440,Jackson County Schools,4,Small (1-9 schools)
450,Jefferson County Schools,11,Medium (10-19 schools)
460,Johnson County Schools,7,Small (1-9 schools)
470,Knox County Schools,82,Large (20+ schools)
480,Lake County School System,3,Small (1-9 schools)
490,Lauderdale County Schools,7,Small (1-9 schools)
500,Lawrence County Schools,12,Medium (10-19 schools)
510,Lewis County Schools,4,Small (1-9 schools)
520,Lincoln County Department of Education,7,Small (1-9 schools)
521,Fayetteville City Schools,3,Small (1-9 schools)
530,Loudon County Schools,9,Small (1-9 schools)
531,Lenoir City Schools,3,Small (1-9 schools)
540,McMinn County Schools,9,Small (1-9 schools)
541,Athens City Schools,5,Small (1-9 schools)
542,Etowah City School,1,Small (1-9 schools)
550,McNairy County Schools,8,Small (1-9 schools)
560,Macon County Schools,8,Small (1-9 schools)
570,Jackson-Madison County Schools,21,Large (20+ schools)
580,Marion County Schools,10,Medium (10-19 schools)
581,Richard Hardy Memorial School,1,Small (1-9 schools)
590,Marshall County Schools,10,Medium (10-19 schools)
600,Maury County Schools,21,Large (20+ schools)
610,Meigs County School System,4,Small (1-9 schools)
620,Monroe County Schools,12,Medium (10-19 schools)
621,Sweetwater City Schools,4,Small (1-9 schools)
630,Clarksville-Montgomery County School System,39,Large (20+ schools)
640,Moore County Schools,2,Small (1-9 schools)
650,Morgan County Schools,7,Small (1-9 schools)
660,Obion County Schools,7,Small (1-9 schools)
661,Union City Schools,3,Small (1-9 schools)
670,Overton County Schools,7,Small (1-9 schools)
680,Perry County Schools,4,Small (1-9 schools)
690,Pickett County Schools,2,Small (1-9 schools)
700,Polk County Schools,6,Small (1-9 schools)
710,Putnam County School System,19,Medium (10-19 schools)
720,Rhea County Schools,7,Small (1-9 schools)
721,Dayton City School,1,Small (1-9 schools)
730,Roane County Schools,17,Medium (10-19 schools)
740,Robertson County Schools,20,Large (20+ schools)
750,Rutherford County Schools,45,Large (20+ schools)
751,Murfreesboro City Schools,12,Medium (10-19 schools)
760,Scott County Schools,7,Small (1-9 schools)
761,Oneida Special School District,3,Small (1-9 schools)
770,Sequatchie County Schools,3,Small (1-9 schools)
780,Sevier County School System,25,Large (20+ schools)
792,Shelby County Schools,200,Large (20+ schools)
793,Arlington Municipal School District,4,Small (1-9 schools)
794,Bartlett Municipal School District,10,Medium (10-19 schools)
795,Collierville Municipal School District,8,Small (1-9 schools)
796,Germantown Municipal School District,5,Small (1-9 schools)
797,Lakeland School System,2,Small (1-9 schools)
798,Millington Municipal School District,4,Small (1-9 schools)
800,Smith County School District,9,Small (1-9 schools)
810,Stewart County Schools,4,Small (1-9 schools)
820,Sullivan County Schools,23,Large (20+ schools)
821,Bristol City Schools,8,Small (1-9 schools)
822,Kingsport City Schools,11,Medium (10-19 schools)
830,Sumner County Schools,47,Large (20+ schools)
840,Tipton County Schools,13,Medium (10-19 schools)
850,Trousdale County Schools,3,Small (1-9 schools)
860,Unicoi County Schools,6,Small (1-9 schools)
870,Union County Schools,8,Small (1-9 schools)
880,Van Buren County Schools,2,Small (1-9 schools)
890,Warren County School District,10,Medium (10-19 schools)
900,Washington County Schools,16,Medium (10-19 schools)
901,Johnson City Schools,11,Medium (10-19 schools)
