"","ID","Major_Studied","Age","Sex","MPPUS__Total","GPA","Extraversion","Neurotocism"
"1",1,"Psychology",21.1498973305955,"Female",128,2.93,17,11
"2",2,"Psychology",20.993839835729,"Female",183,2.98,15,21
"3",3,"Psychology",22.9760438056126,"Female",129,3.57,19,5
"4",4,"Psychology",22.7953456536619,"Female",116,3.98,17,15
"5",5,"Psychology",20.0082135523614,"Female",67,3.54,20,10
"6",6,"Psychology",20.9883641341547,"Female",143,3.22,14,16
"7",7,"Arts",25.8124572210815,"Male",38,4,14,21
"8",8,"Psychology",27.1868583162218,"Male",88,2.9,18,7
"9",9,"Law",18.7186858316222,"Female",35,3.81,20,13
"10",10,"Admin",19.9808350444901,"Female",95,3.33,17,14
"11",11,"Engineering",22.2970568104038,"Male",114,3.33,13,9
"12",12,"Engineering",21.8425735797399,"Male",117,3.02,18,13
"13",13,"Law",20.5667351129363,"Male",122,NA,22,10
"14",14,"Engineering",23.3018480492813,"Male",82,2.76,17,8
"15",15,"Engineering",22.0451745379877,"Male",132,2.9,17,9
"16",16,"Engineering",21.6591375770021,"Female",74,3.14,19,9
"17",17,"Engineering",23.1540041067762,"Male",148,2.73,20,11
"18",18,"Engineering",19.9151266255989,"Female",45,3.53,17,2
"19",19,"Admin",19.6221765913758,"Male",169,3.15,21,10
"20",20,"Engineering",23.1759069130732,"Male",71,3.24,18,12
"21",21,"Engineering",NA,"Male",101,2.37,20,18
"22",22,"Engineering",25.3744010951403,"Male",106,2.12,21,8
"23",23,"Engineering",23.6550308008214,"Male",65,3.87,12,20
"24",24,"Music",22.2477754962355,"Male",100,3.09,19,6
"25",25,"Catering and hospitality)",23.1759069130732,"Male",40,2.97,19,6
"26",26,"Psychology",20.4955509924709,"Female",61,3.85,19,11
"27",27,"Engineering",22.2559890485969,"Female",94,3.53,17,6
"28",28,"Psychology",19.0088980150582,"Female",83,3.77,14,9
"29",29,"Admin",21.8973305954825,"Female",150,3.48,22,17
"30",30,"Admin",20.2518822724162,"Female",112,3.81,12,8
"31",31,"Admin",22.6228610540726,"Female",65,3.64,20,6
"32",32,"Econ",22.9377138945927,"Male",85,3.67,16,12
"33",33,"Int Relations",19.066392881588,"Female",98,3.85,20,16
"34",34,"Engineering",21.0102669404517,"Female",175,3.18,19,17
"35",35,"Psychology",23.4031485284052,"Female",81,3.88,11,6
"36",36,"Int Relations",19.5893223819302,"Male",80,4,12,9
"37",37,"Admin",20.9445585215606,"Female",135,3.98,13,21
"38",38,"Psychology",21.2210814510609,"Female",82,3.71,15,10
"39",39,"Psychology",18.0670773442847,"Male",141,2.88,18,8
"40",40,"Engineering",24.476386036961,"Male",153,NA,19,17
"41",41,"Biol or Biochem",20.4955509924709,"Female",101,2.07,17,8
"42",42,"Music",23.7015742642026,"Male",160,2.6,21,7
"43",43,"Law",23.6303901437372,"Male",42,3.18,17,11
"44",44,"Psychology",23.3210130047912,"Male",112,2.84,21,5
"45",45,"Music",22.1629021218344,"Male",170,3.48,15,12
"46",46,"Admin",21.6700889801506,"Male",104,3.91,8,6
"47",47,"Admin",20.4900752908966,"Female",110,3.39,9,23
"48",48,"Music",20.766598220397,"Male",73,2.15,18,11
"49",49,"Admin",24.0657084188912,"Male",88,3.51,19,10
"50",50,"Music",23.2689938398357,"Male",82,2.74,16,15
"51",51,"Admin",21.9055441478439,"Female",62,3.58,17,14
"52",52,"Psychology",18.9705681040383,"Female",158,4,8,18
"53",53,"Psychology",18.9705681040383,"Female",133,3.9,13,6
"54",54,"Biol or Biochem",21.1991786447639,"Female",80,4,16,7
"55",55,"Psychology",24.0876112251882,"Male",93,3.03,15,9
"56",56,"Music",23.1868583162218,"Male",62,2.46,16,10
"57",57,"Admin",20.2929500342231,"Female",160,3.38,15,21
"58",58,"Media journalism",19.5400410677618,"Male",92,2.99,18,9
"59",59,"Admin",20.6652977412731,"Female",161,2.97,23,19
"60",60,"Biol or Biochem",20.9062286105407,"Female",59,4,15,11
"61",61,"Psychology",20.7720739219713,"Female",121,3.06,11,24
"62",62,"Admin",20.6954140999316,"Female",156,2.79,20,16
"63",63,"Law",19.4770704996578,"Male",140,2.76,19,3
"64",64,"Law",19.0691307323751,"Male",144,3,19,4
"65",65,"Econ",22.8583162217659,"Female",83,3.26,21,6
"66",66,"Econ",20.4654346338125,"Female",95,3.16,22,5
"67",67,"Econ",21.9383983572895,"Female",178,3.19,19,18
