district_number,district_name,school_number,school_name,year,subgroup,overall_subject,percent_below,percent_approaching,percent_on_track,percent_mastered,percent_on_mastered,baseline_year,percent_below_previous,percent_approaching_previous,percent_on_track_previous,percent_mastered_previous,percent_on_mastered_previous
0,State of Tennessee,0,,2018,All Students,ELA,19.5,47.7,28.1,4.7,32.8,2017,20,45.9,28,6.1,34.1
0,State of Tennessee,0,,2018,Black/Hispanic/Native,ELA,30.1,50.5,17.5,1.9,19.4,2017,30.9,49.2,17.6,2.3,19.9
0,State of Tennessee,0,,2018,Economically Disadvantaged,ELA,30.4,51.2,16.7,1.7,18.4,2017,31.5,49.6,16.9,2,18.9
0,State of Tennessee,0,,2018,English Learners,ELA,30.1,51.7,16.7,1.6,18.3,2017,34.3,49.1,15.1,1.5,16.6
0,State of Tennessee,0,,2018,Foster,ELA,33.9,50,14.4,1.8,16.2,,,,,,
0,State of Tennessee,0,,2018,Homeless,ELA,35.8,47.9,14.8,1.5,16.3,2017,35.5,47.2,15.2,2.1,17.4
0,State of Tennessee,0,,2018,Migrant,ELA,39.9,46.1,13,1,14,2017,46.5,45.5,7,1.1,8
0,State of Tennessee,0,,2018,Active Duty Military,ELA,8.9,42.1,40.8,8.2,48.9,2017,8.8,42.7,39.2,9.3,48.4
0,State of Tennessee,0,,2018,Asian,ELA,9.3,34.4,41.9,14.4,56.3,2017,10.3,32.7,39.3,17.8,57
0,State of Tennessee,0,,2018,Black or African American,ELA,31.7,50.3,16.3,1.8,18,2017,32.3,49.2,16.4,2.1,18.4
0,State of Tennessee,0,,2018,Hispanic,ELA,26.7,51.2,19.9,2.2,22.1,2017,27.7,49.2,20.2,2.9,23.1
0,State of Tennessee,0,,2018,American Indian or Alaskan Native,ELA,16.1,47.6,31.3,5,36.3,2017,17.1,46.8,30.2,5.9,36.1
0,State of Tennessee,0,,2018,Native Hawaiian or Pacific Islander,ELA,14.2,46.8,34,5.1,39,2017,12.7,43.3,35.3,8.7,43.9
0,State of Tennessee,0,,2018,White,ELA,14,46.8,33.3,5.9,39.2,2017,14.7,44.6,33,7.7,40.7
0,State of Tennessee,0,,2018,Super Subgroup,ELA,29.3,50.4,18.1,2.1,20.3,2017,30.3,48.9,18.3,2.5,20.8
